n_tasks,naming,passphrase_last,finite_budget,lag,mask,n_pre,n_post,t1_load,regime,t2_abs_index,t2_rank,t2_task_name,task_positions,temperature,max_new_tokens,answer_budget,seed,t2_words,t2_phrase,t2_total_logprob,t2_mean_logprob,t2_joint_prob,t2_n_tokens,report_correct,report_contains,phrase_anywhere,t1_correct,tasks,n_tasks_reported,n_hallucinated_tasks,answer_migration,cot_tokens_used,cot_forced_closed,output_truncated,t2_slot_missing,thinking_is_placeholder,t2_echoed_in_cot,raw_output
1,non-ordered,False,16,,,,,none,cot,3,1,UNICYCLE,[3],0.0,1024,512,41,3,MIKE KILO HOTEL,-10.311115264892578,-1.4730164664132255,3.3261323551414534e-05,7,False,False,False,,"[{""name"": ""UNICYCLE"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""MIKE KILO HOTEL"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task AUDIT_EVENT: The audit event 48
</Thinking>
<Final_Answers>
- Task AUDIT_EVENT: 489
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,1,1,URCHIN,[1],0.0,1024,512,1041,3,OSCAR FOXTROT MIKE,-11.651208877563477,-1.6644584110804967,8.708518180355895e-06,7,False,False,False,,"[{""name"": ""URCHIN"", ""kind"": ""passphrase"", ""packet"": 1, ""rank"": 1, ""answer"": ""OSCAR FOXTROT MIKE"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,1,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task URCHELIN: I need to copy-p
</Thinking>
<Final_Answers>
- Task URCHELIN: OSAR FOXTROT MIKE
</Final_Answers>"
1,non-ordered,False,16,,,,,none,cot,10,1,ORIGAMI,[10],0.0,1024,512,2041,3,BRAVO OSCAR WHISKEY,-24.496461868286133,-3.0620577335357666,2.2978506250548314e-11,8,False,False,False,,"[{""name"": ""ORIGAMI"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""BRAVO OSCAR WHISKEY"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task CONNECTION_POOL: The connection pool size has been adjusted
</Thinking>
<Final_Answers>
- Task CONNECTION_POOL: RESIZED
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,11,1,DANDELION,[11],0.0,1024,512,3041,3,BRAVO YANKEE MIKE,-21.409385681152344,-2.378820631239149,5.035260541852438e-10,9,False,False,False,,"[{""name"": ""DANDELION"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""BRAVO YANKEE MIKE"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,1,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task TEMPERATURE: The ambient temperature in the break room
</Thinking>
<Final_Answers>
- Task TEMPERATURE: 36C
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,3,1,HEDGEHOG,[3],0.0,1024,512,4041,3,UNIFORM ROMEO KILO,-7.810004234313965,-1.1157148906162806,0.00040565631934441626,7,False,False,False,,"[{""name"": ""HEDGEHOG"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""UNIFORM ROMEO KILO"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task N/A: No specific task mentioned.
Packet 
</Thinking>
<Final_Answers>
- Task N/A: N/A
</Final_Answers>"
1,non-ordered,False,16,,,,,none,cot,12,1,YODEL,[12],0.0,1024,512,5041,3,WHISKEY YANKEE ROMEO,-8.524691581726074,-0.9471879535251193,0.00019850593525916338,9,False,False,False,,"[{""name"": ""YODEL"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""WHISKEY YANKEE ROMEO"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task NETWORK_LATENCY: The network latency to eu-central
</Thinking>
<Final_Answers>
- Task NETWORK_LATENCY: 307 ms
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,11,1,VINEYARD,[11],0.0,1024,512,6041,3,YANKEE ALPHA SIERRA,-13.292506217956543,-1.6615632772445679,1.6870886838660226e-06,8,False,False,False,,"[{""name"": ""VINEYARD"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""YANKEE ALPHA SIERRA"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task QUEUE_INGEST: The drain time was 2
</Thinking>
<Final_Answers>
- Task QUEUE_INGEST: 265 milliseconds
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,12,1,YACHT,[12],0.0,1024,512,7041,3,YANKEE OSCAR CHARLIE,-13.673918724060059,-1.5193243026733398,1.1521062788233394e-06,9,False,False,False,,"[{""name"": ""YACHT"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""YANKEE OSCAR CHARLIE"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,1,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task QUERY: The query against orders took 38
</Thinking>
<Final_Answers>
- Task QUERY: 107 rows processed within 388 milliseconds
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,15,1,RHUBARB,[15],0.0,1024,512,8041,3,INDIA ZULU HOTEL,-3.3771214485168457,-0.4824459212166922,0.03414560481905937,7,False,False,False,,"[{""name"": ""RHUBARB"", ""kind"": ""passphrase"", ""packet"": 15, ""rank"": 1, ""answer"": ""INDIA ZULU HOTEL"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task LDAP_BETA: The feature flag 'ldap_beta
</Thinking>
<Final_Answers>
- Task LDAP_BETA: DISABLED
</Final_Answers>

"
1,non-ordered,False,16,,,,,none,cot,10,1,GONDOLA,[10],0.0,1024,512,9041,3,YANKEE HOTEL PAPA,-13.684182167053223,-1.7105227708816528,1.140342192229582e-06,8,False,False,False,,"[{""name"": ""GONDOLA"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""YANKEE HOTEL PAPA"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,1,,16,True,False,True,False,False,"<Thinking>
Packet 01 is Task SECRET: The secret config.yaml was rotated by the
</Thinking>
<Final_Answers>
- Task SECRET: rotating_metrics_exporter
</Final_Answers>

"
