model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,491,0,1,0,0,1.0,1,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,157,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1101,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,177,0,1,1,,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1531,0,1,0,1,0.75,2,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,112,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1815,0,1,1,0,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,110,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,1089,0,1,1,1,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,151,0,1,0,,1.0,15,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1256,0,1,1,0,0.5,17,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,123,0,1,1,,0.25,10,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1158,0,1,0,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,111,0,1,1,,0.25,15,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1419,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,110,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,229,0,1,0,0,0.5,0,20,1,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,188,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,856,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,182,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,1430,0,1,1,1,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,107,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,1008,0,1,1,1,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,109,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,697,0,1,1,1,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,134,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,2224,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,92,0,1,1,,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,804,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,111,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,1620,0,1,1,1,0.25,19,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,494,0,1,1,1,1.0,16,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,123,0,1,1,,1.0,17,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,754,0,1,1,0,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,113,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,908,0,1,1,0,0.25,18,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,94,0,1,1,,0.0,19,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,804,0,1,1,1,0.25,20,20,1,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,113,0,1,1,,0.25,16,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,414,0,1,1,1,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,172,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,1135,0,1,1,1,0.25,19,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,116,0,1,1,,0.25,17,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,712,0,1,0,1,0.25,0,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,119,0,1,1,,0.25,14,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,1064,0,1,0,0,0.0,0,20,1,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,636,0,1,0,,0.0,7,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,512,0,1,1,1,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,224,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,1262,0,1,1,1,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,91,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,1488,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,220,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,612,0,1,0,0,0.0,0,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,73,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,532,0,0,1,1,1.0,,,,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,122,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,895,0,1,1,1,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_2,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,110,0,1,1,,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,1250,0,1,0,0,0.5,0,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_3,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,108,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,1618,0,1,0,1,0.25,14,20,0,,,
qwen2.5:3b,5,non-ordered,math_bench_4,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,117,0,1,1,,0.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,8114,MIKE ECHO YANKEE,PYRAMID,5,12,344,0,1,0,0,1.0,0,20,1,,,
