n_tasks,naming,passphrase_last,anti_enumeration,finite_budget,lag,mask,n_pre,n_post,t1_load,regime,t2_abs_index,t2_rank,t2_task_name,task_positions,temperature,max_new_tokens,answer_budget,seed,t2_words,t2_phrase,t2_total_logprob,t2_mean_logprob,t2_joint_prob,t2_n_tokens,report_correct,report_contains,phrase_anywhere,t1_correct,tasks,n_tasks_reported,n_hallucinated_tasks,answer_migration,cot_tokens_used,cot_forced_closed,output_truncated,t2_slot_missing,thinking_is_placeholder,t2_echoed_in_cot,n_packets_in_cot,n_filler_packets_in_cot,enumerated_fillers_in_cot,raw_output,model,params_b,family
1,non-ordered,True,True,,,,,,none,cot,3,1,WOMBAT,[3],0.0,1024,,41,3,MIKE KILO HOTEL,,,,0,True,True,True,,"[{""name"": ""WOMBAT"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""MIKE KILO HOTEL"", ""reported"": true, ""response"": ""MIKE KILO HOTEL"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 03 is Task WOMBAT: I need to copy these three words: MIKE KILO HOTEL.

</Thinking>
<Final_Answers>
- Task WOMBAT: MIKE KILO HOTEL
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,1,1,ANCHOVY,[1],0.0,1024,,1041,3,OSCAR FOXTROT MIKE,,,,0,True,True,True,,"[{""name"": ""ANCHOVY"", ""kind"": ""passphrase"", ""packet"": 1, ""rank"": 1, ""answer"": ""OSCAR FOXTROT MIKE"", ""reported"": true, ""response"": ""OSCAR FOXTROT MIKE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 01 is Task ANCHOVY: I need to copy these three words: ""OSCAR FOXTROT MIKE"".

</Thinking>
<Final_Answers>
- Task ANCHOVY: OSCAR FOXTROT MIKE
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,10,1,MANDOLIN,[10],0.0,1024,,2041,3,BRAVO OSCAR WHISKEY,,,,0,True,True,True,,"[{""name"": ""MANDOLIN"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""BRAVO OSCAR WHISKEY"", ""reported"": true, ""response"": ""BRAVO OSCAR WHISKEY"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 10 is Task MANDOLIN: I need to copy these three words: ""BRAVO OSCAR WHISKEY"".

</Thinking>
<Final_Answers>
- Task MANDOLIN: BRAVO OSCAR WHISKEY
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,11,1,ZIGZAG,[11],0.0,1024,,3041,3,BRAVO YANKEE MIKE,,,,0,True,True,True,,"[{""name"": ""ZIGZAG"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""BRAVO YANKEE MIKE"", ""reported"": true, ""response"": ""BRAVO YANKEE MIKE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 11 is Task ZIGZAG: I need to copy ""BRAVO YANKEE MIKE"".

</Thinking>
<Final_Answers>
- Task ZIGZAG: BRAVO YANKEE MIKE
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,3,1,SCARECROW,[3],0.0,1024,,4041,3,UNIFORM ROMEO KILO,,,,0,True,True,True,,"[{""name"": ""SCARECROW"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""UNIFORM ROMEO KILO"", ""reported"": true, ""response"": ""UNIFORM ROMEO KILO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 03 is Task SCARECROW: I need to copy these three words: ""UNIFORM ROMEO KILO"".

</Thinking>
<Final_Answers>
- Task SCARECROW: UNIFORM ROMEO KILO
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,12,1,IGLOO,[12],0.0,1024,,5041,3,WHISKEY YANKEE ROMEO,,,,0,True,True,True,,"[{""name"": ""IGLOO"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""WHISKEY YANKEE ROMEO"", ""reported"": true, ""response"": ""WHISKEY YANKEE ROMEO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 12 is Task IGLOO: I need to copy these three words: ""WHISKEY YANKEE ROMEO"".

</Thinking>
<Final_Answers>
- Task IGLOO: WHISKEY YANKEE ROMEO
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,11,1,NECTARINE,[11],0.0,1024,,6041,3,YANKEE ALPHA SIERRA,,,,0,True,True,True,,"[{""name"": ""NECTARINE"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""YANKEE ALPHA SIERRA"", ""reported"": true, ""response"": ""YANKEE ALPHA SIERRA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 11 is Task NECTARINE: I need to copy these three words: ""YANKEE ALPHA SIERRA"".

</Thinking>
<Final_Answers>
- Task NECTARINE: YANKEE ALPHA SIERRA
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,12,1,SAPPHIRE,[12],0.0,1024,,7041,3,YANKEE OSCAR CHARLIE,,,,0,True,True,True,,"[{""name"": ""SAPPHIRE"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""YANKEE OSCAR CHARLIE"", ""reported"": true, ""response"": ""YANKEE OSCAR CHARLIE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 12 is Task SAPPHIRE: I need to copy these three words: ""YANKEE OSCAR CHARLIE"".

</Thinking>
<Final_Answers>
- Task SAPPHIRE: YANKEE OSCAR CHARLIE
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,15,1,DANDELION,[15],0.0,1024,,8041,3,INDIA ZULU HOTEL,,,,0,True,True,True,,"[{""name"": ""DANDELION"", ""kind"": ""passphrase"", ""packet"": 15, ""rank"": 1, ""answer"": ""INDIA ZULU HOTEL"", ""reported"": true, ""response"": ""INDIA ZULU HOTEL"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 15 is Task DANDELION: I need to copy these three words: INDIA ZULU HOTEL.

</Thinking>
<Final_Answers>
- Task DANDELION: INDIA ZULU HOTEL
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,10,1,BONSAI,[10],0.0,1024,,9041,3,YANKEE HOTEL PAPA,,,,0,True,True,True,,"[{""name"": ""BONSAI"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""YANKEE HOTEL PAPA"", ""reported"": true, ""response"": ""YANKEE HOTEL PAPA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 10 is Task BONSAI: I need to copy these three words: ""YANKEE HOTEL PAPA"".

</Thinking>
<Final_Answers>
- Task BONSAI: YANKEE HOTEL PAPA
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,12,1,ICEBERG,[12],0.0,1024,,10041,3,MIKE KILO SIERRA,,,,0,True,True,True,,"[{""name"": ""ICEBERG"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""MIKE KILO SIERRA"", ""reported"": true, ""response"": ""MIKE KILO SIERRA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 12 is Task ICEBERG: I need to copy these three words: MIKE KILO SIERRA.

</Thinking>
<Final_Answers>
- Task ICEBERG: MIKE KILO SIERRA
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,15,1,RASPBERRY,[15],0.0,1024,,11041,3,SIERRA TANGO KILO,,,,0,True,True,True,,"[{""name"": ""RASPBERRY"", ""kind"": ""passphrase"", ""packet"": 15, ""rank"": 1, ""answer"": ""SIERRA TANGO KILO"", ""reported"": true, ""response"": ""SIERRA TANGO KILO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 15 is Task RASPBERRY: I need to copy these three words: SIERRA TANGO KILO.

</Thinking>
<Final_Answers>
- Task RASPBERRY: SIERRA TANGO KILO
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,1,1,TANGERINE,[1],0.0,1024,,12041,3,UNIFORM LIMA MIKE,,,,0,True,True,True,,"[{""name"": ""TANGERINE"", ""kind"": ""passphrase"", ""packet"": 1, ""rank"": 1, ""answer"": ""UNIFORM LIMA MIKE"", ""reported"": true, ""response"": ""UNIFORM LIMA MIKE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 01 is Task TANGERINE: I need to copy these three words: ""UNIFORM LIMA MIKE"".

</Thinking>
<Final_Answers>
- Task TANGERINE: UNIFORM LIMA MIKE
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,10,1,PARSNIP,[10],0.0,1024,,13041,3,NOVEMBER GOLF XRAY,,,,0,True,True,True,,"[{""name"": ""PARSNIP"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""NOVEMBER GOLF XRAY"", ""reported"": true, ""response"": ""NOVEMBER GOLF XRAY"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 10 is Task PARSNIP: I need to copy these three words: NOVEMBER GOLF XRAY.

</Thinking>
<Final_Answers>
- Task PARSNIP: NOVEMBER GOLF XRAY
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,4,1,ANCHOVY,[4],0.0,1024,,14041,3,DELTA XRAY CHARLIE,,,,0,True,True,True,,"[{""name"": ""ANCHOVY"", ""kind"": ""passphrase"", ""packet"": 4, ""rank"": 1, ""answer"": ""DELTA XRAY CHARLIE"", ""reported"": true, ""response"": ""DELTA XRAY CHARLIE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 04 is Task ANCHOVY: I need to copy these three words: ""DELTA XRAY CHARLIE"".

</Thinking>
<Final_Answers>
- Task ANCHOVY: DELTA XRAY CHARLIE
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,3,1,BONSAI,[3],0.0,1024,,15041,3,YANKEE DELTA ZULU,,,,0,True,True,True,,"[{""name"": ""BONSAI"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""YANKEE DELTA ZULU"", ""reported"": true, ""response"": ""YANKEE DELTA ZULU"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 03 is Task BONSAI: I need to copy these three words: ""YANKEE DELTA ZULU"".

</Thinking>
<Final_Answers>
- Task BONSAI: YANKEE DELTA ZULU
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,7,1,WALRUS,[7],0.0,1024,,16041,3,GOLF UNIFORM PAPA,,,,0,True,True,True,,"[{""name"": ""WALRUS"", ""kind"": ""passphrase"", ""packet"": 7, ""rank"": 1, ""answer"": ""GOLF UNIFORM PAPA"", ""reported"": true, ""response"": ""GOLF UNIFORM PAPA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 07 is Task WALRUS: I need to copy these three words: ""GOLF UNIFORM PAPA"".

</Thinking>
<Final_Answers>
- Task WALRUS: GOLF UNIFORM PAPA
",gemma2:27b,27.0,Gemma2
1,non-ordered,True,True,,,,,,none,cot,14,1,INKWELL,[14],0.0,1024,,17041,3,QUEBEC CHARLIE HOTEL,,,,0,True,True,True,,"[{""name"": ""INKWELL"", ""kind"": ""passphrase"", ""packet"": 14, ""rank"": 1, ""answer"": ""QUEBEC CHARLIE HOTEL"", ""reported"": true, ""response"": ""QUEBEC CHARLIE HOTEL"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,False,True,1.0,0.0,False,"<Thinking>
Packet 14 is Task INKWELL: I need to copy these three words: ""QUEBEC CHARLIE HOTEL"".

</Thinking>
<Final_Answers>
- Task INKWELL: QUEBEC CHARLIE HOTEL
",gemma2:27b,27.0,Gemma2
