model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,327,0,1,0,0,0.5,0,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,137,0,1,1,,1.0,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,689,0,1,0,0,0.0,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,260,0,1,1,,0.0,13,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,610,0,1,0,0,0.25,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,671,0,1,0,,0.0,10,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,938,0,1,1,0,0.5,20,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,240,0,1,1,,0.75,14,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,803,0,1,0,0,0.25,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,142,0,1,1,,0.5,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,1146,0,1,0,0,0.75,1,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,140,0,1,1,,0.75,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,350,0,1,0,0,0.5,0,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,145,0,1,1,,1.0,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,482,0,1,1,0,0.75,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,130,0,1,1,,0.75,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,505,0,1,1,0,0.5,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,133,0,1,1,,0.25,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,644,0,1,0,0,0.75,0,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,319,0,1,1,,1.0,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,1558,0,0,0,1,0.0,,,,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,201,0,1,0,,0.0,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,769,0,1,0,0,0.25,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,136,0,1,1,,0.5,16,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,646,0,1,1,1,1.0,20,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,131,0,1,1,,1.0,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,908,0,1,0,0,0.25,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,204,0,1,0,,0.0,14,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,1250,0,1,0,0,0.5,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,128,0,1,1,,0.5,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,481,0,1,1,0,1.0,20,20,0,,,
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,148,0,1,1,,1.0,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,1458,0,1,0,0,0.5,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,100,0,1,0,,0.5,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,464,0,1,1,1,0.25,20,20,0,,,
