model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:3b,5,math_bench_1,cot,149,1228,0,1,1,0.5
qwen2.5:3b,5,math_bench_1,direct,149,110,0,1,,0.25
qwen2.5:3b,5,math_bench_2,cot,149,1510,0,1,1,0.25
qwen2.5:3b,5,math_bench_2,direct,149,111,0,1,,0.5
qwen2.5:3b,5,math_bench_3,cot,149,891,0,1,1,0.75
qwen2.5:3b,5,math_bench_3,direct,149,111,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,149,905,0,1,1,0.25
qwen2.5:3b,5,math_bench_4,direct,149,111,0,1,,0.0
qwen2.5:3b,5,math_bench_1,cot,1149,1227,0,0,1,0.75
qwen2.5:3b,5,math_bench_1,direct,1149,654,0,1,,0.25
qwen2.5:3b,5,math_bench_2,cot,1149,1230,0,1,1,1.0
qwen2.5:3b,5,math_bench_2,direct,1149,108,0,1,,0.25
qwen2.5:3b,5,math_bench_3,cot,1149,878,0,1,1,0.0
qwen2.5:3b,5,math_bench_3,direct,1149,173,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,1149,810,0,0,1,0.25
qwen2.5:3b,5,math_bench_4,direct,1149,109,0,1,,0.0
qwen2.5:3b,5,math_bench_1,cot,2149,843,0,1,1,0.0
qwen2.5:3b,5,math_bench_1,direct,2149,108,0,1,,0.0
qwen2.5:3b,5,math_bench_2,cot,2149,681,0,1,1,0.5
qwen2.5:3b,5,math_bench_2,direct,2149,180,0,1,,0.0
qwen2.5:3b,5,math_bench_3,cot,2149,1192,0,1,1,0.5
qwen2.5:3b,5,math_bench_3,direct,2149,118,0,1,,0.25
qwen2.5:3b,5,math_bench_4,cot,2149,1325,0,1,1,0.25
qwen2.5:3b,5,math_bench_4,direct,2149,195,0,1,,0.0
qwen2.5:3b,5,math_bench_1,cot,3149,859,0,1,0,0.75
qwen2.5:3b,5,math_bench_1,direct,3149,113,0,1,,0.25
qwen2.5:3b,5,math_bench_2,cot,3149,2541,1,0,1,0.0
qwen2.5:3b,5,math_bench_2,direct,3149,169,0,1,,0.0
qwen2.5:3b,5,math_bench_3,cot,3149,216,0,0,1,0.25
qwen2.5:3b,5,math_bench_3,direct,3149,110,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,3149,1114,0,1,1,0.0
qwen2.5:3b,5,math_bench_4,direct,3149,115,0,1,,0.0
qwen2.5:3b,5,math_bench_1,cot,4149,1126,0,1,1,0.25
qwen2.5:3b,5,math_bench_1,direct,4149,93,0,1,,0.0
qwen2.5:3b,5,math_bench_2,cot,4149,725,0,1,1,0.25
qwen2.5:3b,5,math_bench_2,direct,4149,94,0,1,,0.0
