model,t1_load,regime,seed,t2_task_name,t2_rank,cot_id,s,k,t2_in_this_cot
gemma2:2b,trivial,cot,114,INKWELL,5,0,6,6,0
gemma2:2b,trivial,cot,114,INKWELL,5,1,0,6,0
gemma2:2b,trivial,cot,114,INKWELL,5,2,6,6,1
gemma2:2b,trivial,cot,114,INKWELL,5,3,0,6,0
gemma2:2b,trivial,cot,114,INKWELL,5,4,6,6,1
gemma2:2b,trivial,cot,114,INKWELL,5,5,1,6,0
gemma2:2b,semantic_4,cot,135,PYRAMID,5,0,0,6,0
gemma2:2b,semantic_4,cot,135,PYRAMID,5,1,3,6,0
gemma2:2b,semantic_4,cot,135,PYRAMID,5,2,2,6,0
gemma2:2b,semantic_4,cot,135,PYRAMID,5,3,1,6,0
gemma2:2b,semantic_4,cot,135,PYRAMID,5,4,6,6,1
gemma2:2b,semantic_4,cot,135,PYRAMID,5,5,6,6,1
gemma2:2b,trivial,cot,1114,DAFFODIL,5,0,6,6,1
gemma2:2b,trivial,cot,1114,DAFFODIL,5,1,6,6,1
gemma2:2b,trivial,cot,1114,DAFFODIL,5,2,6,6,1
gemma2:2b,trivial,cot,1114,DAFFODIL,5,3,6,6,1
gemma2:2b,trivial,cot,1114,DAFFODIL,5,4,0,6,0
gemma2:2b,trivial,cot,1114,DAFFODIL,5,5,6,6,1
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,0,0,6,0
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,1,0,6,0
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,2,0,6,0
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,3,3,6,0
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,4,3,6,0
gemma2:2b,semantic_4,cot,1135,GONDOLA,5,5,6,6,1
gemma2:2b,trivial,cot,2114,QUARRY,5,0,3,6,0
gemma2:2b,trivial,cot,2114,QUARRY,5,1,0,6,0
gemma2:2b,trivial,cot,2114,QUARRY,5,2,0,6,0
gemma2:2b,trivial,cot,2114,QUARRY,5,3,6,6,1
gemma2:2b,trivial,cot,2114,QUARRY,5,4,0,6,0
gemma2:2b,trivial,cot,2114,QUARRY,5,5,5,6,0
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,0,5,6,0
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,1,6,6,0
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,2,1,6,0
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,3,2,6,0
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,4,6,6,1
gemma2:2b,semantic_4,cot,2135,HEDGEHOG,5,5,6,6,0
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,0,6,6,0
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,1,6,6,1
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,2,6,6,1
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,3,6,6,1
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,4,6,6,1
gemma2:2b,trivial,cot,3114,SAXOPHONE,5,5,5,6,0
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,0,6,6,1
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,1,6,6,1
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,2,0,6,0
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,3,2,6,0
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,4,4,6,0
gemma2:2b,semantic_4,cot,3135,PLATYPUS,5,5,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,0,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,1,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,2,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,3,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,4,0,6,0
gemma2:2b,trivial,cot,4114,HAMMOCK,5,5,6,6,1
gemma2:2b,semantic_4,cot,4135,URCHIN,5,0,0,6,0
gemma2:2b,semantic_4,cot,4135,URCHIN,5,1,1,6,0
gemma2:2b,semantic_4,cot,4135,URCHIN,5,2,5,6,1
gemma2:2b,semantic_4,cot,4135,URCHIN,5,3,6,6,0
gemma2:2b,semantic_4,cot,4135,URCHIN,5,4,1,6,0
gemma2:2b,semantic_4,cot,4135,URCHIN,5,5,0,6,0
gemma2:2b,trivial,cot,5114,BLIZZARD,5,0,5,6,1
gemma2:2b,trivial,cot,5114,BLIZZARD,5,1,0,6,0
gemma2:2b,trivial,cot,5114,BLIZZARD,5,2,6,6,0
gemma2:2b,trivial,cot,5114,BLIZZARD,5,3,6,6,0
gemma2:2b,trivial,cot,5114,BLIZZARD,5,4,6,6,0
gemma2:2b,trivial,cot,5114,BLIZZARD,5,5,6,6,0
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,0,0,6,0
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,1,5,6,1
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,2,0,6,0
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,3,5,6,1
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,4,5,6,1
gemma2:2b,semantic_4,cot,5135,TAPESTRY,5,5,6,6,1
gemma2:2b,trivial,cot,6114,CACTUS,5,0,6,6,0
gemma2:2b,trivial,cot,6114,CACTUS,5,1,0,6,0
gemma2:2b,trivial,cot,6114,CACTUS,5,2,2,6,0
gemma2:2b,trivial,cot,6114,CACTUS,5,3,0,6,0
gemma2:2b,trivial,cot,6114,CACTUS,5,4,6,6,1
gemma2:2b,trivial,cot,6114,CACTUS,5,5,6,6,1
gemma2:2b,semantic_4,cot,6135,KAYAK,5,0,1,6,0
gemma2:2b,semantic_4,cot,6135,KAYAK,5,1,1,6,0
gemma2:2b,semantic_4,cot,6135,KAYAK,5,2,4,6,0
gemma2:2b,semantic_4,cot,6135,KAYAK,5,3,1,6,1
gemma2:2b,semantic_4,cot,6135,KAYAK,5,4,6,6,1
gemma2:2b,semantic_4,cot,6135,KAYAK,5,5,6,6,1
gemma2:2b,trivial,cot,7114,VINEYARD,5,0,0,6,0
gemma2:2b,trivial,cot,7114,VINEYARD,5,1,4,6,0
gemma2:2b,trivial,cot,7114,VINEYARD,5,2,2,6,0
gemma2:2b,trivial,cot,7114,VINEYARD,5,3,6,6,1
gemma2:2b,trivial,cot,7114,VINEYARD,5,4,6,6,1
gemma2:2b,trivial,cot,7114,VINEYARD,5,5,4,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,0,0,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,1,0,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,2,0,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,3,0,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,4,0,6,0
gemma2:2b,semantic_4,cot,7135,METRONOME,5,5,1,6,0
gemma2:2b,trivial,cot,8114,PYRAMID,5,0,0,6,0
gemma2:2b,trivial,cot,8114,PYRAMID,5,1,0,6,0
gemma2:2b,trivial,cot,8114,PYRAMID,5,2,6,6,1
gemma2:2b,trivial,cot,8114,PYRAMID,5,3,6,6,1
gemma2:2b,trivial,cot,8114,PYRAMID,5,4,1,6,0
gemma2:2b,trivial,cot,8114,PYRAMID,5,5,6,6,1
gemma2:2b,semantic_4,cot,8135,QUIVER,5,0,0,6,0
gemma2:2b,semantic_4,cot,8135,QUIVER,5,1,6,6,1
gemma2:2b,semantic_4,cot,8135,QUIVER,5,2,0,6,0
gemma2:2b,semantic_4,cot,8135,QUIVER,5,3,4,6,0
gemma2:2b,semantic_4,cot,8135,QUIVER,5,4,0,6,0
gemma2:2b,semantic_4,cot,8135,QUIVER,5,5,4,6,1
gemma2:2b,trivial,cot,9114,ORCHID,5,0,6,6,1
gemma2:2b,trivial,cot,9114,ORCHID,5,1,2,6,0
gemma2:2b,trivial,cot,9114,ORCHID,5,2,0,6,0
gemma2:2b,trivial,cot,9114,ORCHID,5,3,0,6,0
gemma2:2b,trivial,cot,9114,ORCHID,5,4,6,6,1
gemma2:2b,trivial,cot,9114,ORCHID,5,5,0,6,0
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,0,5,6,1
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,1,0,6,1
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,2,2,6,0
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,3,6,6,1
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,4,0,6,0
gemma2:2b,semantic_4,cot,9135,SUNDIAL,5,5,6,6,1
gemma2:2b,trivial,cot,10114,NUTMEG,5,0,6,6,1
gemma2:2b,trivial,cot,10114,NUTMEG,5,1,3,6,0
gemma2:2b,trivial,cot,10114,NUTMEG,5,2,0,6,0
gemma2:2b,trivial,cot,10114,NUTMEG,5,3,4,6,0
gemma2:2b,trivial,cot,10114,NUTMEG,5,4,2,6,0
gemma2:2b,trivial,cot,10114,NUTMEG,5,5,6,6,1
gemma2:2b,semantic_4,cot,10135,PELICAN,5,0,5,6,0
gemma2:2b,semantic_4,cot,10135,PELICAN,5,1,6,6,0
gemma2:2b,semantic_4,cot,10135,PELICAN,5,2,6,6,1
gemma2:2b,semantic_4,cot,10135,PELICAN,5,3,6,6,1
gemma2:2b,semantic_4,cot,10135,PELICAN,5,4,0,6,0
gemma2:2b,semantic_4,cot,10135,PELICAN,5,5,0,6,0
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,0,0,6,0
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,1,0,6,0
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,2,6,6,1
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,3,6,6,1
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,4,6,6,1
gemma2:2b,trivial,cot,11114,HEDGEHOG,5,5,0,6,0
gemma2:2b,semantic_4,cot,11135,OPAL,5,0,6,6,1
gemma2:2b,semantic_4,cot,11135,OPAL,5,1,6,6,1
gemma2:2b,semantic_4,cot,11135,OPAL,5,2,6,6,1
gemma2:2b,semantic_4,cot,11135,OPAL,5,3,6,6,0
gemma2:2b,semantic_4,cot,11135,OPAL,5,4,6,6,1
gemma2:2b,semantic_4,cot,11135,OPAL,5,5,6,6,1
gemma2:2b,trivial,cot,12114,VINEYARD,5,0,0,6,0
gemma2:2b,trivial,cot,12114,VINEYARD,5,1,6,6,1
gemma2:2b,trivial,cot,12114,VINEYARD,5,2,0,6,0
gemma2:2b,trivial,cot,12114,VINEYARD,5,3,5,6,0
gemma2:2b,trivial,cot,12114,VINEYARD,5,4,6,6,1
gemma2:2b,trivial,cot,12114,VINEYARD,5,5,0,6,0
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,0,6,6,1
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,1,6,6,0
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,2,6,6,1
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,3,5,6,1
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,4,1,6,0
gemma2:2b,semantic_4,cot,12135,GARGOYLE,5,5,1,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,0,0,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,1,0,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,2,6,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,3,0,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,4,0,6,0
gemma2:2b,trivial,cot,13114,FIREFLY,5,5,5,6,1
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,0,3,6,0
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,1,5,6,0
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,2,0,6,0
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,3,0,6,0
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,4,6,6,1
gemma2:2b,semantic_4,cot,13135,TAPESTRY,5,5,0,6,0
gemma2:2b,trivial,cot,14114,CACTUS,5,0,0,6,0
gemma2:2b,trivial,cot,14114,CACTUS,5,1,0,6,0
