model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:0.5b,5,trivial,cot,114,2281,0,0,1,0.25
qwen2.5:0.5b,5,trivial,direct,114,35,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,149,591,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_2,direct,149,36,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,149,2980,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_4,direct,149,740,0,1,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,149,601,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,149,73,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,1114,301,0,0,1,0.5
qwen2.5:0.5b,5,trivial,direct,1114,159,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,1149,700,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,1149,115,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,1149,430,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,1149,125,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,1149,3298,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,1149,129,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,2114,744,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,2114,124,0,1,,1.0
qwen2.5:0.5b,5,math_bench_2,cot,2149,1553,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,2149,18,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,2149,2171,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_4,direct,2149,566,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,2149,546,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,2149,105,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,3114,338,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,3114,1636,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,3149,6354,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,3149,147,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,3149,1033,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,3149,134,0,1,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,3149,2867,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_5,direct,3149,80,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,4114,1657,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,4114,121,0,0,,1.0
qwen2.5:0.5b,5,math_bench_2,cot,4149,542,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,4149,156,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,4149,282,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,4149,127,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,4149,1628,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_5,direct,4149,96,0,1,,0.0
qwen2.5:0.5b,5,trivial,cot,5114,225,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,5114,150,0,1,,0.75
