model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
llama3.1:8b,5,trivial,cot,114,413,0,1,0,0.75
llama3.1:8b,5,trivial,direct,114,145,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,149,4339,0,0,0,0.0
llama3.1:8b,5,math_bench_2,direct,149,127,0,1,,0.25
llama3.1:8b,5,math_bench_4,cot,149,1833,0,1,1,0.5
llama3.1:8b,5,math_bench_4,direct,149,127,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,149,2229,0,1,1,0.25
llama3.1:8b,5,math_bench_5,direct,149,138,0,1,,0.25
llama3.1:8b,5,trivial,cot,1114,590,0,1,1,1.0
llama3.1:8b,5,trivial,direct,1114,142,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,1149,1171,0,1,1,0.5
llama3.1:8b,5,math_bench_2,direct,1149,126,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,1149,7848,0,0,1,0.0
llama3.1:8b,5,math_bench_4,direct,1149,128,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,1149,6427,0,0,1,0.0
llama3.1:8b,5,math_bench_5,direct,1149,126,0,1,,0.0
llama3.1:8b,5,trivial,cot,2114,589,0,1,1,1.0
llama3.1:8b,5,trivial,direct,2114,141,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,2149,1866,0,1,1,0.5
llama3.1:8b,5,math_bench_2,direct,2149,108,0,1,,0.5
llama3.1:8b,5,math_bench_4,cot,2149,2568,0,1,1,0.0
llama3.1:8b,5,math_bench_4,direct,2149,125,0,1,,0.5
llama3.1:8b,5,math_bench_5,cot,2149,3383,0,0,0,0.0
llama3.1:8b,5,math_bench_5,direct,2149,125,0,1,,0.0
llama3.1:8b,5,trivial,cot,3114,457,0,1,1,0.75
llama3.1:8b,5,trivial,direct,3114,136,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,3149,3163,0,0,1,0.0
llama3.1:8b,5,math_bench_2,direct,3149,128,0,1,,0.25
llama3.1:8b,5,math_bench_4,cot,3149,5748,0,0,1,0.0
llama3.1:8b,5,math_bench_4,direct,3149,130,0,1,,0.25
llama3.1:8b,5,math_bench_5,cot,3149,4941,0,0,1,0.0
llama3.1:8b,5,math_bench_5,direct,3149,128,0,1,,0.25
llama3.1:8b,5,trivial,cot,4114,492,0,1,1,0.75
llama3.1:8b,5,trivial,direct,4114,138,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,4149,1757,0,1,1,0.25
llama3.1:8b,5,math_bench_2,direct,4149,128,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,4149,3534,0,1,1,0.25
llama3.1:8b,5,math_bench_4,direct,4149,171,0,0,,0.0
llama3.1:8b,5,math_bench_5,cot,4149,5884,0,0,1,0.0
llama3.1:8b,5,math_bench_5,direct,4149,128,0,1,,0.0
llama3.1:8b,5,trivial,cot,5114,636,0,1,1,0.5
llama3.1:8b,5,trivial,direct,5114,138,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,5149,1486,0,1,1,0.75
llama3.1:8b,5,math_bench_2,direct,5149,133,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,5149,2908,0,0,1,0.25
llama3.1:8b,5,math_bench_4,direct,5149,133,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,5149,1843,0,1,1,0.0
llama3.1:8b,5,math_bench_5,direct,5149,133,0,1,,0.0
llama3.1:8b,5,trivial,cot,6114,522,0,1,1,0.75
