lag,t1_load,regime,mask,n_pre,n_post,t2_abs_index,temperature,max_new_tokens,seed,t2_words,t2_phrase,t2_total_logprob,t2_mean_logprob,t2_joint_prob,t2_n_tokens,report_correct,t1_correct,output_truncated,t2_slot_missing,thinking_is_placeholder,raw_output
0,none,cot,False,2,10,4,0.0,1024,28,3,DELTA XRAY ECHO,-16.069302082061768,-8.034651041030884,1.0500035749695621e-07,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,cot,False,1,11,3,0.0,1024,1028,3,OSCAR TANGO MIKE,-14.21971607208252,-7.10985803604126,6.67506925074405e-07,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,cot,False,6,6,8,0.0,1024,2028,3,LIMA FOXTROT WHISKEY,-13.64147162437439,-6.820735812187195,1.1901018998576713e-06,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,cot,False,5,7,7,0.0,1024,3028,3,VICTOR UNIFORM GOLF,-13.611387729644775,-6.805693864822388,1.226448786848438e-06,2,False,,False,True,False,"Okay, I understand. I will process the provided data stream and output the correct template based on the information given. Let's begin!
"
0,none,cot,False,5,7,7,0.0,1024,4028,3,WHISKEY INDIA PAPA,-14.099591732025146,-7.049795866012573,7.527055420607647e-07,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,cot,False,9,3,11,0.0,1024,5028,3,CHARLIE LIMA GOLF,-13.928970336914062,-6.964485168457031,8.927401026335811e-07,2,False,,False,True,False,"Okay, I understand. I will process the provided data stream and output the correct template based on the information given. Let's begin!
"
0,none,cot,False,4,8,6,0.0,1024,6028,3,XRAY FOXTROT INDIA,-13.212419033050537,-6.6062095165252686,1.8277606425119398e-06,2,False,,False,True,False,"Okay, I understand. I will process the provided data stream and output the correct template based on the information given. Let's begin!
"
0,none,cot,False,8,4,10,0.0,1024,7028,3,XRAY NOVEMBER FOXTROT,-15.558141469955444,-7.779070734977722,1.75059228807548e-07,2,False,,False,True,False,"Okay, I understand. I will process the provided data stream and output the correct template based on the information presented. Let's begin!
"
0,none,cot,False,5,7,7,0.0,1024,8028,3,WHISKEY DELTA PAPA,-13.689953088760376,-6.844976544380188,1.1337803245409356e-06,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,cot,False,3,9,5,0.0,1024,9028,3,MIKE TANGO LIMA,-13.676126718521118,-6.838063359260559,1.149565263820888e-06,2,False,,False,True,False,"Okay, I understand. I will process the actual stream and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,2,10,4,0.0,1024,28,3,DELTA XRAY ECHO,-63.04783535003662,-12.609567070007325,4.155975814476391e-28,5,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,1,11,3,0.0,1024,1028,3,OSCAR TANGO MIKE,-61.044116497039795,-12.208823299407959,3.0823152335307472e-27,5,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,6,6,8,0.0,1024,2028,3,LIMA FOXTROT WHISKEY,-135.06622236967087,-15.007358041074541,2.1952547894257465e-59,9,False,,False,True,,
0,none,direct,False,5,7,7,0.0,1024,3028,3,VICTOR UNIFORM GOLF,-82.5240089893341,-10.315501123666763,1.4463662237661682e-36,8,False,,False,True,,"Okay, I understand. I will process the actual data stream and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,5,7,7,0.0,1024,4028,3,WHISKEY INDIA PAPA,-121.56872344017029,-12.156872344017028,1.5972549323376858e-53,10,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,9,3,11,0.0,1024,5028,3,CHARLIE LIMA GOLF,-128.22704911231995,-12.822704911231995,2.049746435185434e-56,10,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,4,8,6,0.0,1024,6028,3,XRAY FOXTROT INDIA,-125.3452832698822,-12.53452832698822,3.6579279191677316e-55,10,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,8,4,10,0.0,1024,7028,3,XRAY NOVEMBER FOXTROT,-129.07229042053223,-12.907229042053222,8.80271221394373e-57,10,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,5,7,7,0.0,1024,8028,3,WHISKEY DELTA PAPA,-131.19742894173078,-10.933119078477565,1.0511884265426274e-57,12,False,,False,True,,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,none,direct,False,3,9,5,0.0,1024,9028,3,MIKE TANGO LIMA,-132.48410737514496,-14.720456375016106,2.90324192713545e-58,9,False,,False,True,,
0,semantic_4,cot,False,4,8,6,0.0,1024,70,3,DELTA JULIET WHISKEY,-14.038778305053711,-7.0193891525268555,7.999006495493992e-07,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,semantic_4,cot,False,11,1,13,0.0,1024,1070,3,LIMA XRAY CHARLIE,-14.54363489151001,-7.271817445755005,4.828137388551254e-07,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,semantic_4,cot,False,6,6,8,0.0,1024,2070,3,MIKE DELTA CHARLIE,-16.594932556152344,-8.297466278076172,6.207437611213012e-08,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,semantic_4,cot,False,11,1,13,0.0,1024,3070,3,TANGO KILO WHISKEY,-17.26729679107666,-8.63364839553833,3.168898188532474e-08,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,semantic_4,cot,False,8,4,10,0.0,1024,4070,3,ZULU DELTA SIERRA,-17.612142324447632,-8.806071162223816,2.2446248880489016e-08,2,False,False,False,True,False,"Okay, I understand. I will process the provided data stream and output the correct template based on the given information. Let's begin!
"
0,semantic_4,cot,False,9,3,11,0.0,1024,5070,3,KILO JULIET DELTA,-16.496329069137573,-8.248164534568787,6.850705740756489e-08,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
0,semantic_4,cot,False,6,6,8,0.0,1024,6070,3,GOLF DELTA HOTEL,-16.2664053440094,-8.1332026720047,8.621640673722357e-08,2,False,False,False,True,False,"Okay, I understand. I will process the actual stream data and output the correct template based on the provided example. Let's begin!
"
