model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,592,0,1,1,1,20,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,152,0,1,0,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,791,0,1,0,1,0,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,365,0,1,1,,13,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,593,0,1,0,0,11,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,263,0,1,1,,10,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,507,0,1,1,0,20,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,550,0,1,0,,14,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,768,0,1,1,0,20,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,133,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,1270,0,1,1,1,17,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,139,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,367,0,1,0,0,1,20,0,5,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,133,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,669,0,1,0,0,2,20,0,11,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,112,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,749,0,1,1,0,19,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,138,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,323,0,1,0,0,0,20,0,12,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,215,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,568,0,1,1,1,20,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,154,0,1,0,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,560,0,1,0,0,8,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,139,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,513,0,1,1,1,20,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,131,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,908,0,1,0,0,3,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,121,0,1,0,,15,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,321,0,1,0,0,9,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,4135,INDIA WHISKEY VICTOR,URCHIN,5,11,194,0,1,0,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,527,0,1,0,0,0,20,0,10,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,170,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,2344,0,1,0,0,0,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,100,0,1,0,,0,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,1261,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,5135,INDIA HOTEL QUEBEC,TAPESTRY,5,13,95,0,1,0,,7,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,716,0,1,0,1,20,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,131,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,6135,ALPHA CHARLIE BRAVO,KAYAK,5,15,349,0,1,0,0,0,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,6135,ALPHA CHARLIE BRAVO,KAYAK,5,15,136,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,6135,ALPHA CHARLIE BRAVO,KAYAK,5,15,1230,0,1,1,1,10,20,0,3,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,6135,ALPHA CHARLIE BRAVO,KAYAK,5,15,140,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,694,0,1,1,0,13,20,0,6,20,0
