model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:3b,5,trivial,cot,114,405,0,1,1,0.75
qwen2.5:3b,5,trivial,direct,114,143,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,149,1273,0,1,1,0.5
qwen2.5:3b,5,math_bench_2,direct,149,111,0,1,,0.5
qwen2.5:3b,5,math_bench_4,cot,149,1165,0,1,1,0.5
qwen2.5:3b,5,math_bench_4,direct,149,110,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,149,1083,0,0,0,0.0
qwen2.5:3b,5,math_bench_5,direct,149,108,0,1,,0.25
qwen2.5:3b,5,trivial,cot,1114,420,0,0,0,1.0
qwen2.5:3b,5,trivial,direct,1114,125,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,1149,1310,0,1,1,0.5
qwen2.5:3b,5,math_bench_2,direct,1149,124,0,0,,0.0
qwen2.5:3b,5,math_bench_4,cot,1149,1010,0,0,0,0.25
qwen2.5:3b,5,math_bench_4,direct,1149,109,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,1149,1110,0,1,1,0.0
qwen2.5:3b,5,math_bench_5,direct,1149,110,0,1,,0.0
qwen2.5:3b,5,trivial,cot,2114,336,0,1,0,1.0
qwen2.5:3b,5,trivial,direct,2114,124,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,2149,1122,0,1,1,0.75
qwen2.5:3b,5,math_bench_2,direct,2149,139,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,2149,1188,0,1,1,0.25
qwen2.5:3b,5,math_bench_4,direct,2149,108,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,2149,1237,0,1,1,0.0
qwen2.5:3b,5,math_bench_5,direct,2149,109,0,1,,0.0
qwen2.5:3b,5,trivial,cot,3114,495,0,1,1,1.0
qwen2.5:3b,5,trivial,direct,3114,134,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,3149,784,0,1,1,0.25
qwen2.5:3b,5,math_bench_2,direct,3149,92,0,1,,0.25
qwen2.5:3b,5,math_bench_4,cot,3149,1075,0,1,0,0.0
qwen2.5:3b,5,math_bench_4,direct,3149,197,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,3149,1514,0,0,1,0.25
qwen2.5:3b,5,math_bench_5,direct,3149,112,0,1,,0.0
qwen2.5:3b,5,trivial,cot,4114,549,0,0,1,1.0
qwen2.5:3b,5,trivial,direct,4114,185,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,4149,758,0,1,0,0.75
qwen2.5:3b,5,math_bench_2,direct,4149,112,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,4149,1336,0,1,1,0.5
qwen2.5:3b,5,math_bench_4,direct,4149,113,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,4149,1119,0,1,1,0.25
qwen2.5:3b,5,math_bench_5,direct,4149,111,0,1,,0.0
qwen2.5:3b,5,trivial,cot,5114,633,0,1,1,0.5
qwen2.5:3b,5,trivial,direct,5114,138,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,5149,498,0,0,0,0.25
qwen2.5:3b,5,math_bench_2,direct,5149,116,0,1,,0.25
qwen2.5:3b,5,math_bench_4,cot,5149,2165,0,0,0,0.0
qwen2.5:3b,5,math_bench_4,direct,5149,161,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,5149,1080,0,1,0,0.0
qwen2.5:3b,5,math_bench_5,direct,5149,123,0,0,,0.0
qwen2.5:3b,5,trivial,cot,6114,417,0,0,0,1.0
qwen2.5:3b,5,trivial,direct,6114,218,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,6149,860,0,1,1,0.25
qwen2.5:3b,5,math_bench_2,direct,6149,90,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,6149,2360,0,1,1,0.25
qwen2.5:3b,5,math_bench_4,direct,6149,90,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,6149,1812,0,1,0,0.0
qwen2.5:3b,5,math_bench_5,direct,6149,169,0,1,,0.0
qwen2.5:3b,5,trivial,cot,7114,508,0,1,1,1.0
qwen2.5:3b,5,trivial,direct,7114,221,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,7149,1448,0,1,0,0.75
qwen2.5:3b,5,math_bench_2,direct,7149,197,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,7149,1155,0,1,1,0.25
