model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
mistral:7b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,513,0,1,1,1,1.0,16,20,0,,,
mistral:7b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,146,0,1,1,,1.0,20,20,0,,,
mistral:7b,5,non-ordered,semantic_2,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,1188,0,1,1,1,0.5,13,20,0,,,
mistral:7b,5,non-ordered,semantic_2,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,171,0,1,1,,0.25,19,20,0,,,
mistral:7b,5,non-ordered,semantic_4,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,1231,0,1,0,0,0.5,0,20,0,,,
mistral:7b,5,non-ordered,semantic_4,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,146,0,1,1,,0.25,19,20,0,,,
mistral:7b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,728,0,1,1,1,1.0,9,20,0,,,
mistral:7b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,143,0,1,1,,1.0,20,20,0,,,
mistral:7b,5,non-ordered,semantic_2,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,778,0,1,1,1,0.5,15,20,0,,,
mistral:7b,5,non-ordered,semantic_2,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,140,0,1,1,,0.75,20,20,0,,,
mistral:7b,5,non-ordered,semantic_4,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,1208,0,1,0,0,0.25,0,20,0,,,
