model,t1_load,regime,seed,t2_task_name,t2_rank,cot_id,s,k,t2_in_this_cot
qwen2.5:3b,trivial,cot,114,INKWELL,5,0,0,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,1,1,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,2,0,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,3,0,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,4,0,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,5,0,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,6,2,6,0
qwen2.5:3b,trivial,cot,114,INKWELL,5,7,0,6,0
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,4,5,6,0
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,135,PYRAMID,5,7,0,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,0,6,6,0
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,1135,GONDOLA,5,7,0,6,0
qwen2.5:3b,trivial,cot,2114,QUARRY,5,0,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,1,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,2,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,3,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,4,0,6,0
qwen2.5:3b,trivial,cot,2114,QUARRY,5,5,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,6,6,6,1
qwen2.5:3b,trivial,cot,2114,QUARRY,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,4,0,6,1
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,2135,HEDGEHOG,5,7,0,6,0
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,0,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,1,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,2,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,3,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,4,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,5,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,6,6,6,1
qwen2.5:3b,trivial,cot,3114,SAXOPHONE,5,7,6,6,1
