n_tasks,naming,passphrase_last,finite_budget,lag,mask,n_pre,n_post,t1_load,regime,t2_abs_index,t2_rank,t2_task_name,task_positions,temperature,max_new_tokens,answer_budget,seed,t2_words,t2_phrase,t2_total_logprob,t2_mean_logprob,t2_joint_prob,t2_n_tokens,report_correct,report_contains,phrase_anywhere,t1_correct,tasks,n_tasks_reported,n_hallucinated_tasks,answer_migration,cot_tokens_used,cot_forced_closed,output_truncated,t2_slot_missing,thinking_is_placeholder,t2_echoed_in_cot,raw_output
1,non-ordered,False,,,,,,none,direct,3,1,UNICYCLE,[3],0.0,1024,,41,3,MIKE KILO HOTEL,-3.5049967765808105,-0.5007138252258301,0.030046869069337845,7,False,True,True,,"[{""name"": ""UNICYCLE"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""MIKE KILO HOTEL"", ""reported"": true, ""response"": ""COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL"", ""correct"": false, ""correct_lenient"": true, ""answer_migrated"": false}]",1,2,0.0,,,False,False,,,"```python
[
    'Task UNICYCLE: COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL',
    'Task REPLICATIONLAG: NETWORK LATENCY TO US-WEST-1 IS 323 MS',
    'Task RAPIDBEING: BACKGROUND WORKER RATE LIMITER FINISHED CYCLE 311'
]
```"
1,non-ordered,False,,,,,,none,direct,1,1,URCHIN,[1],0.0,1024,,1041,3,OSCAR FOXTROT MIKE,-6.168989658355713,-0.881284236907959,0.002093350049108267,7,False,False,False,,"[{""name"": ""URCHIN"", ""kind"": ""passphrase"", ""packet"": 1, ""rank"": 1, ""answer"": ""OSCAR FOXTROT MIKE"", ""reported"": true, ""response"": ""ANIMAL"", ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",1,2,0.0,,,False,False,,,"```python
[
    'Task URCHIN: ANIMAL',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task WEBHOOK: DISABLED'
]
```"
1,non-ordered,False,,,,,,none,direct,10,1,ORIGAMI,[10],0.0,1024,,2041,3,BRAVO OSCAR WHISKEY,-15.859543800354004,-1.9824429750442505,1.295053237981847e-07,8,True,True,True,,"[{""name"": ""ORIGAMI"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""BRAVO OSCAR WHISKEY"", ""reported"": true, ""response"": ""BRAVO OSCAR WHISKEY"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,True,False,,,"- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIGAMI: BRAVO OSCAR WHISKEY
- Task MARMALADE: VICTOR XRAY ROMEO
- Task ORIG"
1,non-ordered,False,,,,,,none,direct,11,1,DANDELION,[11],0.0,1024,,3041,3,BRAVO YANKEE MIKE,-14.178584098815918,-1.5753982332017686,6.955352773729828e-07,9,False,False,False,,"[{""name"": ""DANDELION"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""BRAVO YANKEE MIKE"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,2,,,,False,True,,,"- Task DELAY: 90 seconds
- Task NETWORK_LATENCY: 435 ms
- Task REPLICATION_LAG: 90 seconds
- Task FAILOVER: leader elected for etl: new leader node-e"
1,non-ordered,False,,,,,,none,direct,3,1,HEDGEHOG,[3],0.0,1024,,4041,3,UNIFORM ROMEO KILO,-7.251652240753174,-1.0359503201075964,0.0007090019644238055,7,True,True,True,,"[{""name"": ""HEDGEHOG"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""UNIFORM ROMEO KILO"", ""reported"": true, ""response"": ""UNIFORM ROMEO KILO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task HEDGEHOG: UNIFORM ROMEO KILO',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task HEDGEHOG: UNIFORM ROMEO KILO'
]
```"
1,non-ordered,False,,,,,,none,direct,12,1,YODEL,[12],0.0,1024,,5041,3,WHISKEY YANKEE ROMEO,-12.2558012008667,-1.3617556889851887,4.757438546221238e-06,9,True,True,True,,"[{""name"": ""YODEL"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""WHISKEY YANKEE ROMEO"", ""reported"": true, ""response"": ""WHISKEY YANKEE ROMEO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"- Task YODEL: WHISKEY YANKEE ROMEO
- Task MARMALADE: VICTOR XRAY ROMEO
- Task DATA_STREAM: None"
1,non-ordered,False,,,,,,none,direct,11,1,VINEYARD,[11],0.0,1024,,6041,3,YANKEE ALPHA SIERRA,-11.272797584533691,-1.4090996980667114,1.2714117474388331e-05,8,True,True,True,,"[{""name"": ""VINEYARD"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""YANKEE ALPHA SIERRA"", ""reported"": true, ""response"": ""YANKEE ALPHA SIERRA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,,,"- Task VINEYARD: YANKEE ALPHA SIERRA
- Task TASK_12: DNS lookup for kafka.internal resolved in 166 ms"
1,non-ordered,False,,,,,,none,direct,12,1,YACHT,[12],0.0,1024,,7041,3,YANKEE OSCAR CHARLIE,-8.72167682647705,-0.9690752029418945,0.00016301361029036343,9,True,True,True,,"[{""name"": ""YACHT"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""YANKEE OSCAR CHARLIE"", ""reported"": true, ""response"": ""YANKEE OSCAR CHARLIE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task YACHT: YANKEE OSCAR CHARLIE',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task YACHT: YANKEE OSCAR CHARLIE',
    'Task MARMALADE: VICTOR XRAY ROMEO'
]
```"
1,non-ordered,False,,,,,,none,direct,15,1,RHUBARB,[15],0.0,1024,,8041,3,INDIA ZULU HOTEL,-4.335653305053711,-0.6193790435791016,0.013093316927552223,7,True,True,True,,"[{""name"": ""RHUBARB"", ""kind"": ""passphrase"", ""packet"": 15, ""rank"": 1, ""answer"": ""INDIA ZULU HOTEL"", ""reported"": true, ""response"": ""INDIA ZULU HOTEL"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,,,- Task RHUBARB: INDIA ZULU HOTEL
1,non-ordered,False,,,,,,none,direct,10,1,GONDOLA,[10],0.0,1024,,9041,3,YANKEE HOTEL PAPA,-9.561627388000488,-1.195203423500061,7.037816976662725e-05,8,True,True,True,,"[{""name"": ""GONDOLA"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""YANKEE HOTEL PAPA"", ""reported"": true, ""response"": ""YANKEE HOTEL PAPA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task CATHEDRAL: ANIMAL',
    'Task GONDOLA: YANKEE HOTEL PAPA'
]
```"
