model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,963,0,1,1,1,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,143,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_2,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,1095,0,1,0,0,0.75,0,20,1,,,
qwen2.5:3b,5,non-ordered,semantic_2,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,141,0,1,1,,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,cot,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,1585,0,1,0,0,0.5,0,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,direct,True,1.0,20,135,VICTOR LIMA UNIFORM,PYRAMID,5,13,124,0,1,1,,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,759,0,1,1,1,1.0,20,20,1,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,140,0,1,1,,1.0,16,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_2,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,954,0,1,1,1,1.0,20,20,1,,,
qwen2.5:3b,5,non-ordered,semantic_2,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,221,0,1,1,,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,cot,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,1145,0,1,1,1,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,direct,True,1.0,20,1135,ROMEO OSCAR ECHO,GONDOLA,5,15,196,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,385,0,1,1,1,0.5,20,20,1,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,124,0,1,1,,1.0,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_2,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,641,0,1,0,0,0.75,6,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_2,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,120,0,1,1,,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,cot,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,1135,0,1,1,1,0.25,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_4,direct,True,1.0,20,2135,TANGO ALPHA YANKEE,HEDGEHOG,5,15,224,0,1,1,,0.5,20,20,0,,,
qwen2.5:3b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,624,0,1,1,1,1.0,20,20,1,,,
qwen2.5:3b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,113,0,1,1,,0.75,20,20,0,,,
qwen2.5:3b,5,non-ordered,semantic_2,cot,True,1.0,20,3135,NOVEMBER SIERRA ROMEO,PLATYPUS,5,15,1004,0,1,0,0,0.25,0,20,1,,,
