model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,512,0,1,1,1,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,145,0,1,1,,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,4259,1,1,0,1,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_2,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,127,0,1,1,,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1764,0,1,1,0,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,130,0,1,1,,0.0,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,3075,1,0,0,0,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_4,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,130,0,1,1,,0.0,20,20,0,,,
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,591,0,1,1,1,1.0,20,20,0,,,
llama3.1:8b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,142,0,1,1,,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,3914,0,0,0,0,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_2,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,125,0,1,1,,0.0,19,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1904,0,1,1,1,0.5,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,127,0,1,1,,0.0,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,3594,1,0,0,0,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_4,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,114,0,1,0,,0.0,19,20,0,,,
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,639,0,1,1,1,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,141,0,1,1,,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,1158,0,1,1,1,0.5,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_2,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,125,0,1,1,,0.5,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,2233,0,0,0,1,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_3,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,99,0,1,0,,0.0,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,2917,1,0,0,0,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_4,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,124,0,1,1,,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,579,0,1,1,1,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,136,0,1,1,,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,2111,0,1,1,1,0.5,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,127,0,1,1,,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,2152,0,1,0,0,0.25,0,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,128,0,1,1,,0.25,19,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,3015,0,1,0,0,0.25,0,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,127,0,1,0,,0.0,20,20,0,,,
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,430,0,1,1,1,0.75,20,20,1,,,
llama3.1:8b,5,non-ordered,trivial,direct,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,138,0,1,1,,1.0,20,20,1,,,
llama3.1:8b,5,non-ordered,math_bench_2,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,1376,0,1,1,1,0.5,20,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_2,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,130,0,1,1,,0.0,18,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_3,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,3884,1,0,0,0,0.0,,,,,,
llama3.1:8b,5,non-ordered,math_bench_3,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,112,0,1,1,,0.0,19,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,2395,0,1,1,1,0.0,16,20,0,,,
llama3.1:8b,5,non-ordered,math_bench_4,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,128,0,1,1,,0.25,20,20,0,,,
llama3.1:8b,5,non-ordered,trivial,cot,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,495,0,1,1,1,1.0,20,20,1,,,
